#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,eventType,eventUUID,timestamp
,,10,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:10:51.627380054Z,"Application{remoteApplicationUUID=e8d5d657-b2a6-47ef-b979-a4cf0a301f89, nodeId='6dd39b86-1b6e-4122-8739-cd4572f197dd', name='gateway1-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=0e264cd2-cb9f-49ed-bee6-d84120d691ae, nodeUUID=6dd39b86-1b6e-4122-8739-cd4572f197dd, nodeHost='h5136.pi.uni-bamberg.de', name='gateway1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,5bb541b8-2f96-4b94-904c-7cb0086554e7,2024-04-03T23:10:48.202276682
,,11,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:00:31.658569474Z,"Application{remoteApplicationUUID=ea58730d-2475-4b5e-8862-2ef9e85219e6, nodeId='4c37dcca-998d-49a4-861b-49b0ef91516d', name='cloud1-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,6496390c-6edd-4901-a8e9-8fc3394d6860,2024-04-03T23:00:31.572847630
,,12,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:10:57.326836683Z,"Application{remoteApplicationUUID=2ce4eb5e-3132-40b9-832e-7bc99063bdd6, nodeId='56718563-3580-498e-8441-8aa7d92f7654', name='fog3-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=a3206f83-b611-4f13-8ea1-83f25389884f, nodeUUID=56718563-3580-498e-8441-8aa7d92f7654, nodeHost='h5138.pi.uni-bamberg.de', name='fog3-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,6a5a0059-340d-4fa4-aede-1b271289bbfc,2024-04-03T23:10:51.502042837
,,13,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:11:01.026419835Z,"Application{remoteApplicationUUID=fb636b4e-6767-419c-9c83-182f75488bae, nodeId='e1076174-380a-47e4-a468-b9fd1b0ea309', name='fog1-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=c40a5ca1-8111-4b6a-8a95-285fe86aa644, nodeUUID=e1076174-380a-47e4-a468-b9fd1b0ea309, nodeHost='pulceo-node-16e5021250.francecentral.cloudapp.azure.com', name='fog1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,7df7a887-9926-4b9e-b152-2190645dd60b,2024-04-03T23:11:00.947455088
,,14,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T22:59:56.207350784Z,"Application{remoteApplicationUUID=a04b2405-a0d7-428d-bc26-8a2ad3f00bd8, nodeId='934bc9f9-33c6-4e40-a186-017ea28f80b8', name='fog2-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,82950624-430a-44cd-be21-fb5f0e423c85,2024-04-03T22:59:56.047828502
,,15,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:10:57.355732103Z,"Application{remoteApplicationUUID=f9245dc3-758e-4fc2-93f4-51d2a2c9589c, nodeId='934bc9f9-33c6-4e40-a186-017ea28f80b8', name='fog2-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=8e224d8f-d7cb-4734-b407-a3ee80c1d757, nodeUUID=934bc9f9-33c6-4e40-a186-017ea28f80b8, nodeHost='pulceo-node-de55018079.germanywestcentral.cloudapp.azure.com', name='fog2-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,8571e054-d761-4ee4-a0c1-fc8ef8421f99,2024-04-03T23:10:57.273378275
,,16,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:11:04.537782221Z,"Application{remoteApplicationUUID=14de1f14-a21d-43ed-98c7-1e13691ec740, nodeId='4c37dcca-998d-49a4-861b-49b0ef91516d', name='cloud1-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=c2bf4783-972d-4d65-9049-7b55d82a7fcc, nodeUUID=4c37dcca-998d-49a4-861b-49b0ef91516d, nodeHost='pulceo-node-cc15023803.eastus.cloudapp.azure.com', name='cloud1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,9ecc0cce-4159-483b-ba12-fca10502e311,2024-04-03T23:11:04.460357585
,,17,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:00:11.11511595Z,"Application{remoteApplicationUUID=c37a596a-a055-4415-a0c7-14b209fbc7d7, nodeId='e1076174-380a-47e4-a468-b9fd1b0ea309', name='fog1-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,a1a7d5f3-4ef8-4066-903e-e7e15d204960,2024-04-03T23:00:11.066435212
,,18,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T23:00:31.617920773Z,"Application{remoteApplicationUUID=2a743a9e-64de-43a9-90a7-a4805de1b8cd, nodeId='4c37dcca-998d-49a4-861b-49b0ef91516d', name='cloud1-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,a83c10dd-7d46-4536-b44a-5a7001f3c2f7,2024-04-03T23:00:31.572853424
,,19,2024-03-06T09:06:26.51302692Z,2024-04-05T09:06:26.51302692Z,2024-04-03T22:56:52.979831296Z,"Application{remoteApplicationUUID=34d5d1f8-049c-4aed-b490-f0510d08f4c5, nodeId='56718563-3580-498e-8441-8aa7d92f7654', name='fog3-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,bb409968-81c0-47f0-835f-cb8bc25285c5,2024-04-03T22:56:52.224558340
