#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,10,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T04:04:09.609495221Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T04:04:09.488098999Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,201aae84-e820-4d8b-9ad7-7f52d4b51798,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T04:04:03.896597680Z
,,11,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T04:04:09.609495221Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T04:04:09.488098999Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,201aae84-e820-4d8b-9ad7-7f52d4b51798,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T04:04:03.896597680Z
,,12,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T05:04:09.601868592Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T05:04:09.483176574Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,2cdb4a8e-e8cd-4e71-90a9-58c5fe420b51,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T05:04:03.896506585Z
,,13,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T05:04:09.601868592Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T05:04:09.483176574Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,2cdb4a8e-e8cd-4e71-90a9-58c5fe420b51,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T05:04:03.896506585Z
,,14,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T06:04:09.598564155Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T06:04:09.479690348Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,44362af6-7813-4f88-91f1-b64fd48db09b,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T06:04:03.896532906Z
,,15,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T06:04:09.598564155Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T06:04:09.479690348Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,44362af6-7813-4f88-91f1-b64fd48db09b,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T06:04:03.896532906Z
,,16,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T07:04:09.524040426Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T07:04:09.468115253Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,860b778b-3291-4a9f-bcf3-7d529e44107e,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T07:04:03.896482493Z
,,17,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T07:04:09.524040426Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T07:04:09.468115253Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,860b778b-3291-4a9f-bcf3-7d529e44107e,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T07:04:03.896482493Z
,,18,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T08:04:09.543038039Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T08:04:09.482128291Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,41b76d09-cc52-4d20-8190-f279497c1f46,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T08:04:03.896518080Z
,,19,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T08:04:09.543038039Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T08:04:09.482128291Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,41b76d09-cc52-4d20-8190-f279497c1f46,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T08:04:03.896518080Z
,,20,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T09:04:09.541994813Z,64,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T09:04:09.484924588Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,8a0fa80f-89fb-4d49-a7ea-9ef7028e97af,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T09:04:03.896542113Z
,,21,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T09:04:09.541994813Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T09:04:09.484924588Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,8a0fa80f-89fb-4d49-a7ea-9ef7028e97af,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T09:04:03.896542113Z
,,22,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T10:04:09.589795799Z,64,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T10:04:09.488128957Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,eb950758-d5c0-41e0-8cdf-7d04a6698411,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T10:04:03.896534045Z
,,23,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T10:04:09.589795799Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T10:04:09.488128957Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,eb950758-d5c0-41e0-8cdf-7d04a6698411,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T10:04:03.896534045Z
,,24,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T11:04:09.612481717Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T11:04:09.505743351Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,3cd07f8b-29d9-4551-a3d6-aa5ee9d6beb0,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T11:04:03.897061343Z
,,25,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T11:04:09.612481717Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T11:04:09.505743351Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,3cd07f8b-29d9-4551-a3d6-aa5ee9d6beb0,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T11:04:03.897061343Z
,,26,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T12:04:09.541546511Z,64,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T12:04:09.483201507Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,e712d5bd-6a3f-4082-ab8d-1ce29a296e02,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T12:04:03.896564753Z
,,27,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T12:04:09.541546511Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T12:04:09.483201507Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,e712d5bd-6a3f-4082-ab8d-1ce29a296e02,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T12:04:03.896564753Z
,,28,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T13:04:09.542961444Z,64,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T13:04:09.482812233Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,101ed43e-0deb-4086-862b-32f32024764a,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T13:04:03.896454105Z
,,29,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T13:04:09.542961444Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T13:04:09.482812233Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,101ed43e-0deb-4086-862b-32f32024764a,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T13:04:03.896454105Z
,,30,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T14:04:09.52687533Z,64,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T14:04:09.467185383Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,617bda4e-6894-41de-ae3d-5558bc31c7dd,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T14:04:03.896502261Z
,,31,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T14:04:09.52687533Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T14:04:09.467185383Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,617bda4e-6894-41de-ae3d-5558bc31c7dd,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T14:04:03.896502261Z
,,32,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T15:04:09.598893059Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T15:04:09.493956061Z,TCP,RECEIVER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,d04081b9-8cc3-4aad-9665-2c5f78033508,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T15:04:03.896507823Z
,,33,2024-03-06T09:06:25.890737024Z,2024-04-05T09:06:25.890737024Z,2024-04-04T15:04:09.598893059Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T15:04:09.493956061Z,TCP,SENDER,c6cee236-c842-4d84-99e5-67d3f469ac75,TCP_BW,d04081b9-8cc3-4aad-9665-2c5f78033508,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T15:04:03.896507823Z
