#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,10,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T04:10:57.749229928Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T04:10:57.692100924Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,c2ebfef8-19f9-4816-85ae-6df6307889f8,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T04:10:52.184363754Z
,,11,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T04:10:57.749229928Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T04:10:57.692100924Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,c2ebfef8-19f9-4816-85ae-6df6307889f8,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T04:10:52.184363754Z
,,12,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T05:10:57.746458841Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T05:10:57.689145387Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,9ef9c40f-696f-415b-8853-8f20eaf3e1e9,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T05:10:52.184391920Z
,,13,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T05:10:57.746458841Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T05:10:57.689145387Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,9ef9c40f-696f-415b-8853-8f20eaf3e1e9,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T05:10:52.184391920Z
,,14,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T06:10:57.732603649Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T06:10:57.673574596Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,67ec430d-40b3-412a-8533-2122fe1f6f1b,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T06:10:52.184491633Z
,,15,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T06:10:57.732603649Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T06:10:57.673574596Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,67ec430d-40b3-412a-8533-2122fe1f6f1b,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T06:10:52.184491633Z
,,16,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T07:10:57.748011535Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T07:10:57.689512231Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,7eb6bdb2-3a38-4ebe-9526-c2a532459f18,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T07:10:52.184391730Z
,,17,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T07:10:57.748011535Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T07:10:57.689512231Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,7eb6bdb2-3a38-4ebe-9526-c2a532459f18,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T07:10:52.184391730Z
,,18,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T08:10:57.754159655Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T08:10:57.693839412Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,32998f05-5416-4a7f-a391-dd29a3f00a92,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T08:10:52.184369109Z
,,19,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T08:10:57.754159655Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T08:10:57.693839412Z,UDP,SENDER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,32998f05-5416-4a7f-a391-dd29a3f00a92,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T08:10:52.184369109Z
,,20,2024-03-06T09:06:25.923525942Z,2024-04-05T09:06:25.923525942Z,2024-04-04T09:10:57.745289509Z,64,bitrate,UDP_BW,Mbits/s,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T09:10:57.687544418Z,UDP,RECEIVER,f07d0963-deb2-40ec-9b7e-a8ade732062a,UDP_BW,d2fe0e66-45d2-4213-9196-ba34b57b3c2f,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T09:10:52.184426233Z
