#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,deviceId,endTime,jobUUID,metricType,metricUUID,sourceHost,startTime
,,11,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T10:02:07.888776079Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T10:02:07.828513119Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,f2d8a373-7b6a-43be-b16d-f9476a420bcb,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T10:01:58.715459591Z
,,12,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T11:02:07.887888313Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T11:02:07.827754111Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,d408ce36-3214-48c6-a8b5-6e2e9c75ce91,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T11:01:58.715385626Z
,,13,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T12:02:07.888676734Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T12:02:07.830101773Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,71980a90-6cd9-498c-b366-5149b89c9c4d,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T12:01:58.715365200Z
,,14,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T13:02:07.889215581Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T13:02:07.830640992Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,96fd84c8-025a-42d7-b5ee-6e357e987aa1,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T13:01:58.715369524Z
,,15,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T14:02:07.873262617Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T14:02:07.813327514Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,a7dba5e8-70c3-466d-b890-daff7ca25d87,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T14:01:58.718326196Z
,,16,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T15:02:07.884633476Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T15:02:07.825457198Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,957abf0a-7a38-4d33-9127-28ddb4a26738,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T15:01:58.715379088Z
,,17,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T16:02:07.883561748Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T16:02:07.826308342Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,d196ca78-060c-48c8-8fc8-584efc949f67,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T16:01:58.715358737Z
,,18,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T17:02:07.897974991Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T17:02:07.839271748Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,1a6740ac-f6c6-48b3-8b14-e348c9e2f40c,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T17:01:58.715368621Z
,,19,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T18:02:07.903416281Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T18:02:07.842933745Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,e691d781-ffa9-4d60-ac36-c95bd7a97e82,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T18:01:58.715407222Z
,,20,2024-03-06T09:06:25.604468832Z,2024-04-05T09:06:25.604468832Z,2024-04-04T19:02:07.884687724Z,0,packetLoss,ICMP_RTT,pulceo-node-16e5021250.francecentral.cloudapp.azure.com,0360b064-f433-4efd-aee1-5d9ae167f4d3,2024-04-04T19:02:07.826609314Z,3e97535c-cb1a-422b-b9dd-50caebec34de,ICMP_RTT,9c90b587-f1f2-49f2-b4a6-5dbb6bfa3c67,pulceo-node-cc15023803.eastus.cloudapp.azure.com,2024-04-04T19:01:58.715380642Z
