#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,eventType,eventUUID,timestamp
,,10,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:26:29.494679642Z,"AzureDeloymentResult{resourceGroupName='pulceo-node-c9c9464326', sku='Standard_B4ms', fqdn='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}",payload,EVENT,AZURE_NODE_DEPLOYMENT_COMPLETED,bc956655-c79c-468a-85de-7a6b739ca665,2024-04-02T20:25:26.299607127
,,11,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:24:20.659102212Z,"CreateNewAzureNodeDTO(providerName=azure-provider, name=fog2, type=fog, cpu=2, memory=4, region=germanywestcentral, tags=[])",payload,EVENT,AZURE_NODE_DEPLOYMENT_STARTED,0c9d0de5-506c-44dc-91f7-21fcfda8d9f2,2024-04-02T20:24:20.609779884
,,12,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:24:22.455206848Z,"CreateNewAzureNodeDTO(providerName=azure-provider, name=fog1, type=fog, cpu=2, memory=8, region=francecentral, tags=[])",payload,EVENT,AZURE_NODE_DEPLOYMENT_STARTED,584380b7-3bc4-46c7-97a4-fc58e22b4288,2024-04-02T20:24:22.399064806
,,13,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:26:29.465556956Z,"CreateNewAzureNodeDTO(providerName=azure-provider, name=cloud1, type=cloud, cpu=4, memory=16, region=eastus, tags=[])",payload,EVENT,AZURE_NODE_DEPLOYMENT_STARTED,846feeb9-497e-4589-909a-aa4a05cf7ea9,2024-04-02T20:24:24.321566373
,,14,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:27:55.332014605Z,"NodeLink{remoteNodeLinkUUID=1de2ecec-8dba-49c5-aade-036adcb70a73, srcNode=OnPremNode{onPremProvider=OnPremProvider{providerMetaData=ProviderMetaData{providerName='default', providerType=ON_PREM}}, nodeMetaData=NodeMetaData{remoteNodeUUID=4023dee2-7d52-4140-a6c1-cf4baf836990, pnaUUID=6dc8fca9-d1a6-4436-b1c9-122bbaa55235, hostname='h5138.pi.uni-bamberg.de'}, node=Node{name='fog3', type=FOG, layer=2, role=WORKLOAD, nodeGroup='', country='Germany', state='Bavaria', city='Bamberg', longitude=10.87, latitude=49.9036, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=2, threads=2, bogoMIPS=7200.11, MIPS=7200.11, GFlop=0.0, minimalFrequency=3600.058, averageFrequency=3600.058, maximalFrequency=3600.058, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=2, threads=2, bogoMIPS=7200.11, MIPS=7200.11, GFlop=0.0, minimalFrequency=3600.058, averageFrequency=3600.058, maximalFrequency=3600.058, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=1.9250755, slots=0}, memoryAllocatable=Memory{size=1.9250755, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=26.2, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}}, destNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=79bcf3db-3f7a-4aba-ad5d-7703f3d7628a, pnaUUID=0f40dcd2-a7d0-4ce3-820e-f5fe48883d98, hostname='pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com'}, node=Node{name='fog2', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='Germany', state='Hessen', city='Frankfurt', longitude=8.682127, latitude=50.110924, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz', cores=2, threads=2, bogoMIPS=5586.87, MIPS=5586.87, GFlop=0.0, minimalFrequency=2793.438, averageFrequency=2793.438, maximalFrequency=2793.438, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz', cores=2, threads=2, bogoMIPS=5586.87, MIPS=5586.87, GFlop=0.0, minimalFrequency=2793.438, averageFrequency=2793.438, maximalFrequency=2793.438, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=3.8216248, slots=0}, memoryAllocatable=Memory{size=3.8216248, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-69a9460614', sku='Standard_B2s', fqdn='pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com'}}}",payload,EVENT,LINK_CREATED,2e929345-ce5d-4aa5-8c98-031335c6a0d2,2024-04-02T20:27:55.287103807
,,15,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:27:52.427665856Z,"NodeLink{remoteNodeLinkUUID=42a39f04-fd06-449a-9a9a-11d468f0d734, srcNode=OnPremNode{onPremProvider=OnPremProvider{providerMetaData=ProviderMetaData{providerName='default', providerType=ON_PREM}}, nodeMetaData=NodeMetaData{remoteNodeUUID=4023dee2-7d52-4140-a6c1-cf4baf836990, pnaUUID=6dc8fca9-d1a6-4436-b1c9-122bbaa55235, hostname='h5138.pi.uni-bamberg.de'}, node=Node{name='fog3', type=FOG, layer=2, role=WORKLOAD, nodeGroup='', country='Germany', state='Bavaria', city='Bamberg', longitude=10.87, latitude=49.9036, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=2, threads=2, bogoMIPS=7200.11, MIPS=7200.11, GFlop=0.0, minimalFrequency=3600.058, averageFrequency=3600.058, maximalFrequency=3600.058, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz', cores=2, threads=2, bogoMIPS=7200.11, MIPS=7200.11, GFlop=0.0, minimalFrequency=3600.058, averageFrequency=3600.058, maximalFrequency=3600.058, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=1.9250755, slots=0}, memoryAllocatable=Memory{size=1.9250755, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=26.2, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}}, destNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=30e2f86d-a38b-47d1-8b62-3ad1e5e20c7f, pnaUUID=5a552c12-f74c-489b-a771-c9578ac49c77, hostname='pulceo-node-96f9462404.francecentral.cloudapp.azure.com'}, node=Node{name='fog1', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='France', state='Paris (chef-lieu)', city='Paris', longitude=2.373, latitude=46.3772, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=2, threads=2, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.906, averageFrequency=2593.906, maximalFrequency=2593.906, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=2, threads=2, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.906, averageFrequency=2593.906, maximalFrequency=2593.906, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=7.753273, slots=0}, memoryAllocatable=Memory{size=7.753273, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-96f9462404', sku='Standard_B2ms', fqdn='pulceo-node-96f9462404.francecentral.cloudapp.azure.com'}}}",payload,EVENT,LINK_CREATED,7a2180c0-6806-4b7c-853a-94fe1bba52a4,2024-04-02T20:27:52.378672824
,,16,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:28:02.823106102Z,"NodeLink{remoteNodeLinkUUID=122618f3-a31c-4470-82c4-efea7be0d635, srcNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=61b57345-ff2d-43c8-b280-1b5ffb3d5783, pnaUUID=a58dddf4-c10c-498d-89d3-6da8c591f4c6, hostname='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}, node=Node{name='cloud1', type=CLOUD, layer=1, role=WORKLOAD, nodeGroup='', country='USA', state='Virginia', city='Boydton', longitude=-78.37465887756295, latitude=37.3719, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=15.616074, slots=0}, memoryAllocatable=Memory{size=15.616074, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-c9c9464326', sku='Standard_B4ms', fqdn='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}}, destNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=30e2f86d-a38b-47d1-8b62-3ad1e5e20c7f, pnaUUID=5a552c12-f74c-489b-a771-c9578ac49c77, hostname='pulceo-node-96f9462404.francecentral.cloudapp.azure.com'}, node=Node{name='fog1', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='France', state='Paris (chef-lieu)', city='Paris', longitude=2.373, latitude=46.3772, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=2, threads=2, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.906, averageFrequency=2593.906, maximalFrequency=2593.906, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=2, threads=2, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.906, averageFrequency=2593.906, maximalFrequency=2593.906, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=7.753273, slots=0}, memoryAllocatable=Memory{size=7.753273, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-96f9462404', sku='Standard_B2ms', fqdn='pulceo-node-96f9462404.francecentral.cloudapp.azure.com'}}}",payload,EVENT,LINK_CREATED,9da883ef-6738-4d7b-8dbc-0b94605a9948,2024-04-02T20:28:02.777133742
,,17,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:27:57.82651628Z,"NodeLink{remoteNodeLinkUUID=96034274-7180-4b1a-9847-45840d9436e2, srcNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=30e2f86d-a38b-47d1-8b62-3ad1e5e20c7f, pnaUUID=5a552c12-f74c-489b-a771-c9578ac49c77, hostname='pulceo-node-96f9462404.francecentral.cloudapp.azure.com'}, node=Node{name='fog1', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='France', state='Paris (chef-lieu)', city='Paris', longitude=2.373, latitude=46.3772, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=2, threads=2, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.906, averageFrequency=2593.906, maximalFrequency=2593.906, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=2, threads=2, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.906, averageFrequency=2593.906, maximalFrequency=2593.906, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=7.753273, slots=0}, memoryAllocatable=Memory{size=7.753273, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-96f9462404', sku='Standard_B2ms', fqdn='pulceo-node-96f9462404.francecentral.cloudapp.azure.com'}}, destNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=61b57345-ff2d-43c8-b280-1b5ffb3d5783, pnaUUID=a58dddf4-c10c-498d-89d3-6da8c591f4c6, hostname='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}, node=Node{name='cloud1', type=CLOUD, layer=1, role=WORKLOAD, nodeGroup='', country='USA', state='Virginia', city='Boydton', longitude=-78.37465887756295, latitude=37.3719, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=15.616074, slots=0}, memoryAllocatable=Memory{size=15.616074, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-c9c9464326', sku='Standard_B4ms', fqdn='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}}}",payload,EVENT,LINK_CREATED,b05da8ba-68bf-4396-afc2-d5874837d089,2024-04-02T20:27:57.781883176
,,18,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:28:05.422308781Z,"NodeLink{remoteNodeLinkUUID=48b3b179-7a70-4d60-9025-dec747d0f047, srcNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=61b57345-ff2d-43c8-b280-1b5ffb3d5783, pnaUUID=a58dddf4-c10c-498d-89d3-6da8c591f4c6, hostname='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}, node=Node{name='cloud1', type=CLOUD, layer=1, role=WORKLOAD, nodeGroup='', country='USA', state='Virginia', city='Boydton', longitude=-78.37465887756295, latitude=37.3719, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=15.616074, slots=0}, memoryAllocatable=Memory{size=15.616074, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-c9c9464326', sku='Standard_B4ms', fqdn='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}}, destNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=79bcf3db-3f7a-4aba-ad5d-7703f3d7628a, pnaUUID=0f40dcd2-a7d0-4ce3-820e-f5fe48883d98, hostname='pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com'}, node=Node{name='fog2', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='Germany', state='Hessen', city='Frankfurt', longitude=8.682127, latitude=50.110924, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz', cores=2, threads=2, bogoMIPS=5586.87, MIPS=5586.87, GFlop=0.0, minimalFrequency=2793.438, averageFrequency=2793.438, maximalFrequency=2793.438, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz', cores=2, threads=2, bogoMIPS=5586.87, MIPS=5586.87, GFlop=0.0, minimalFrequency=2793.438, averageFrequency=2793.438, maximalFrequency=2793.438, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=3.8216248, slots=0}, memoryAllocatable=Memory{size=3.8216248, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-69a9460614', sku='Standard_B2s', fqdn='pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com'}}}",payload,EVENT,LINK_CREATED,f2ead8e3-fd76-4402-b8a7-da796137e2d5,2024-04-02T20:28:05.376999706
,,19,2024-03-04T22:35:50.401420978Z,2024-04-03T22:35:50.401420978Z,2024-04-02T20:28:00.244141614Z,"NodeLink{remoteNodeLinkUUID=6eaf733d-ef07-4ac4-be65-abe428fa47e2, srcNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=79bcf3db-3f7a-4aba-ad5d-7703f3d7628a, pnaUUID=0f40dcd2-a7d0-4ce3-820e-f5fe48883d98, hostname='pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com'}, node=Node{name='fog2', type=FOG, layer=1, role=WORKLOAD, nodeGroup='', country='Germany', state='Hessen', city='Frankfurt', longitude=8.682127, latitude=50.110924, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz', cores=2, threads=2, bogoMIPS=5586.87, MIPS=5586.87, GFlop=0.0, minimalFrequency=2793.438, averageFrequency=2793.438, maximalFrequency=2793.438, shares=2000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz', cores=2, threads=2, bogoMIPS=5586.87, MIPS=5586.87, GFlop=0.0, minimalFrequency=2793.438, averageFrequency=2793.438, maximalFrequency=2793.438, shares=2000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=3.8216248, slots=0}, memoryAllocatable=Memory{size=3.8216248, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-69a9460614', sku='Standard_B2s', fqdn='pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com'}}, destNode=AzureNode{azureProvider=AzureProvider{providerMetaData=ProviderMetaData{providerName='azure-provider', providerType=AZURE}}, nodeMetaData=NodeMetaData{remoteNodeUUID=61b57345-ff2d-43c8-b280-1b5ffb3d5783, pnaUUID=a58dddf4-c10c-498d-89d3-6da8c591f4c6, hostname='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}, node=Node{name='cloud1', type=CLOUD, layer=1, role=WORKLOAD, nodeGroup='', country='USA', state='Virginia', city='Boydton', longitude=-78.37465887756295, latitude=37.3719, cpuResource=CPUResource{cpuCapacity=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}, cpuAllocatable=CPU{modelName='Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz', cores=4, threads=4, bogoMIPS=5187.81, MIPS=5187.81, GFlop=0.0, minimalFrequency=2593.907, averageFrequency=2593.907, maximalFrequency=2593.907, shares=4000, slots=0.0}}, memoryResource=MemoryResource{memoryCapacity=Memory{size=15.616074, slots=0}, memoryAllocatable=Memory{size=15.616074, slots=0}}, storageResource=StorageResource{storageCapacity=Storage{size=28.9, slots=0}, storageAllocatable=Storage{size=0.0, slots=0}}, nodeTags=[]}, azureDeloymentResult=AzureDeloymentResult{resourceGroupName='pulceo-node-c9c9464326', sku='Standard_B4ms', fqdn='pulceo-node-c9c9464326.eastus.cloudapp.azure.com'}}}",payload,EVENT,LINK_CREATED,f7c9ebd9-940d-44a6-8108-ddc61f8b2df1,2024-04-02T20:28:00.198821949
