#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,10,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T01:35:47.023809392Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T01:35:46.980521478Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,3213b2d1-e3c9-45e5-b3fe-04d93862162f,h5138.pi.uni-bamberg.de,2024-04-03T01:35:41.779332940Z
,,11,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T01:35:47.023809392Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T01:35:46.980521478Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,3213b2d1-e3c9-45e5-b3fe-04d93862162f,h5138.pi.uni-bamberg.de,2024-04-03T01:35:41.779332940Z
,,12,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T02:35:47.043152435Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T02:35:47.002354519Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,c2bedc49-cea0-4b6b-af06-54ed19d02947,h5138.pi.uni-bamberg.de,2024-04-03T02:35:41.779538137Z
,,13,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T02:35:47.043152435Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T02:35:47.002354519Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,c2bedc49-cea0-4b6b-af06-54ed19d02947,h5138.pi.uni-bamberg.de,2024-04-03T02:35:41.779538137Z
,,14,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T03:35:46.952958992Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T03:35:46.909287115Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,fb6df1ae-450e-43a1-bf98-42510da21b68,h5138.pi.uni-bamberg.de,2024-04-03T03:35:41.779481016Z
,,15,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T03:35:46.952958992Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T03:35:46.909287115Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,fb6df1ae-450e-43a1-bf98-42510da21b68,h5138.pi.uni-bamberg.de,2024-04-03T03:35:41.779481016Z
,,16,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T04:35:47.057233177Z,64.7,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T04:35:47.012733465Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,3a185cef-af41-4cae-9856-8700c0cf1500,h5138.pi.uni-bamberg.de,2024-04-03T04:35:41.779457508Z
,,17,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T04:35:47.057233177Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T04:35:47.012733465Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,3a185cef-af41-4cae-9856-8700c0cf1500,h5138.pi.uni-bamberg.de,2024-04-03T04:35:41.779457508Z
,,18,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T05:35:46.967188548Z,64.8,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T05:35:46.922294764Z,UDP,RECEIVER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,2ca0c4c1-2f9b-4a09-a84a-162e83286f9d,h5138.pi.uni-bamberg.de,2024-04-03T05:35:41.779475322Z
,,19,2024-03-04T22:35:49.864335928Z,2024-04-03T22:35:49.864335928Z,2024-04-03T05:35:46.967188548Z,65,bitrate,UDP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T05:35:46.922294764Z,UDP,SENDER,0d32268f-4a58-41a4-8678-4e73d7a7e5cc,UDP_BW,2ca0c4c1-2f9b-4a09-a84a-162e83286f9d,h5138.pi.uni-bamberg.de,2024-04-03T05:35:41.779475322Z
