#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,11,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T01:29:13.206312351Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T01:29:13.163023870Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,d966c71d-afc6-4400-bdff-b1c184af54c0,h5138.pi.uni-bamberg.de,2024-04-03T01:29:08.036313123Z
,,12,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T02:29:13.228413409Z,64.9,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T02:29:13.184261908Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,62443306-859a-4195-888c-9ecda18cf456,h5138.pi.uni-bamberg.de,2024-04-03T02:29:08.036042532Z
,,13,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T02:29:13.228413409Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T02:29:13.184261908Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,62443306-859a-4195-888c-9ecda18cf456,h5138.pi.uni-bamberg.de,2024-04-03T02:29:08.036042532Z
,,14,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T03:29:13.304838875Z,64.8,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T03:29:13.261432818Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,f8535d78-1400-4e83-8297-f85a39593e7a,h5138.pi.uni-bamberg.de,2024-04-03T03:29:08.036035682Z
,,15,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T03:29:13.304838875Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T03:29:13.261432818Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,f8535d78-1400-4e83-8297-f85a39593e7a,h5138.pi.uni-bamberg.de,2024-04-03T03:29:08.036035682Z
,,16,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T04:29:13.345697553Z,64.8,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T04:29:13.299558032Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,704895bb-9e34-48e2-b06b-ec8aaf608746,h5138.pi.uni-bamberg.de,2024-04-03T04:29:08.036057511Z
,,17,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T04:29:13.345697553Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T04:29:13.299558032Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,704895bb-9e34-48e2-b06b-ec8aaf608746,h5138.pi.uni-bamberg.de,2024-04-03T04:29:08.036057511Z
,,18,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T05:29:13.24102194Z,64.9,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T05:29:13.195845525Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,52d841ad-cfa7-4103-83bf-11054b55b50d,h5138.pi.uni-bamberg.de,2024-04-03T05:29:08.036025157Z
,,19,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T05:29:13.24102194Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T05:29:13.195845525Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,52d841ad-cfa7-4103-83bf-11054b55b50d,h5138.pi.uni-bamberg.de,2024-04-03T05:29:08.036025157Z
,,20,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T06:29:13.208161816Z,64.7,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T06:29:13.162293702Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,7b1d76ab-a5b6-445b-8496-94b4bfd6bb6e,h5138.pi.uni-bamberg.de,2024-04-03T06:29:08.036031733Z
,,21,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T06:29:13.208161816Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T06:29:13.162293702Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,7b1d76ab-a5b6-445b-8496-94b4bfd6bb6e,h5138.pi.uni-bamberg.de,2024-04-03T06:29:08.036031733Z
,,22,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T07:29:13.345411717Z,63.8,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T07:29:13.301087503Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,ca6b9e0b-7edc-46e6-90cd-70b3a4c12647,h5138.pi.uni-bamberg.de,2024-04-03T07:29:08.036089466Z
,,23,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T07:29:13.345411717Z,64.4,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T07:29:13.301087503Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,ca6b9e0b-7edc-46e6-90cd-70b3a4c12647,h5138.pi.uni-bamberg.de,2024-04-03T07:29:08.036089466Z
,,24,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T08:29:13.230323075Z,64.6,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T08:29:13.174450243Z,TCP,RECEIVER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,9168d78a-b1db-4d57-a66b-1021b82e1366,h5138.pi.uni-bamberg.de,2024-04-03T08:29:08.036013598Z
,,25,2024-03-04T22:35:49.751365326Z,2024-04-03T22:35:49.751365326Z,2024-04-03T08:29:13.230323075Z,65,bitrate,TCP_BW,Mbits/s,pulceo-node-69a9460614.germanywestcentral.cloudapp.azure.com,6dc8fca9-d1a6-4436-b1c9-122bbaa55235,2024-04-03T08:29:13.174450243Z,TCP,SENDER,4b0649c9-25df-48e7-9536-e16146e8478d,TCP_BW,9168d78a-b1db-4d57-a66b-1021b82e1366,h5138.pi.uni-bamberg.de,2024-04-03T08:29:08.036013598Z
