#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,11,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T18:23:48.595293086Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T18:23:48.553408845Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,947b33af-5449-4e26-b73c-e59df7056ea0,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T18:23:43.358956855Z
,,12,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T19:23:48.58803902Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T19:23:48.548631425Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,ce6f2862-cd06-4526-b5dd-342196498232,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T19:23:43.358933246Z
,,13,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T19:23:48.58803902Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T19:23:48.548631425Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,ce6f2862-cd06-4526-b5dd-342196498232,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T19:23:43.358933246Z
,,14,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T20:23:48.602565721Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T20:23:48.561224196Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,271d8156-c4e9-4637-b911-0ffc6b795e29,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T20:23:43.358853411Z
,,15,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T20:23:48.602565721Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T20:23:48.561224196Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,271d8156-c4e9-4637-b911-0ffc6b795e29,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T20:23:43.358853411Z
,,16,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T21:23:48.591974047Z,64.7,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T21:23:48.556696020Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,c6213f15-4ecc-4cdd-9e88-06e5ed1b4381,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T21:23:43.359084266Z
,,17,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T21:23:48.591974047Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T21:23:48.556696020Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,c6213f15-4ecc-4cdd-9e88-06e5ed1b4381,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T21:23:43.359084266Z
,,18,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T22:23:48.59016125Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T22:23:48.552351791Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,ff22b805-9230-4869-a336-f673ae4304cc,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T22:23:43.358876316Z
,,19,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T22:23:48.59016125Z,65,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T22:23:48.552351791Z,TCP,SENDER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,ff22b805-9230-4869-a336-f673ae4304cc,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T22:23:43.358876316Z
,,20,2024-03-18T18:20:38.125909389Z,2024-04-17T18:20:38.125909389Z,2024-04-16T23:23:48.735062739Z,64.5,bitrate,TCP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T23:23:48.697520477Z,TCP,RECEIVER,98e20fa8-754d-4e07-888b-69ce96496e08,TCP_BW,846210a5-d5d5-4ecb-ab7f-4cfc5c819db7,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T23:23:43.358939967Z
