#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,eventType,eventUUID,timestamp
,,10,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:58.28794048Z,"Application{remoteApplicationUUID=84fee082-fa36-437b-95da-0b49036be05b, nodeId='615ba998-3ecb-40f4-8a00-bdebf5894303', name='fog1-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,3bae8494-c5cb-4790-88db-9822298ae3f3,2024-04-16T12:08:58.206531848
,,11,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:13:11.780873167Z,"Application{remoteApplicationUUID=9e59a7f7-ef21-4a72-aaf7-0def7a70012d, nodeId='3f425fb8-c4e5-4eab-9d30-4552e94abdb3', name='cloud2-pulceo-node-agent', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,43b64b80-d989-4ea9-87d5-2bb425f04a1c,2024-04-16T12:13:11.655516071
,,12,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:11:39.096542639Z,"Application{remoteApplicationUUID=7c243589-6df1-422b-921f-63a84d7a524b, nodeId='98036c1c-1d51-4fcd-81ab-21fb40b14b3b', name='cloud1-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,4ef50d51-fafa-4020-986b-9a9efd60254a,2024-04-16T12:11:39.052294061
,,13,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:19:45.506283789Z,"Application{remoteApplicationUUID=c31aa8ea-380f-45cb-b3e4-8364b2e666cd, nodeId='3f425fb8-c4e5-4eab-9d30-4552e94abdb3', name='cloud2-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=507dcbcd-7eba-40e9-be6c-85db0052d823, nodeUUID=3f425fb8-c4e5-4eab-9d30-4552e94abdb3, nodeHost='pulceo-node-6659339536.westus.cloudapp.azure.com', name='cloud2-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,4f5d0872-b5fb-449f-bcb3-5b19cd050947,2024-04-16T12:19:45.429080528
,,14,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:28:52.190405142Z,"Application{remoteApplicationUUID=999385fb-7115-4678-9001-fda684308685, nodeId='22d5cc00-3264-4ad5-b85d-26c1bbb4cbf3', name='fog2-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=11a9af8f-0f96-457a-96a4-cc5de8719207, nodeUUID=22d5cc00-3264-4ad5-b85d-26c1bbb4cbf3, nodeHost='h5136.pi.uni-bamberg.de', name='fog2-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,6e07f9c2-d2d7-47a5-b345-7cfc09c719c8,2024-04-16T12:28:52.112575866
,,15,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:09:05.833164149Z,"Application{remoteApplicationUUID=db36e9a9-1a86-4e14-8f1f-945d265b8895, nodeId='c329ad3d-ab6c-41a9-aa8d-5705787a60d6', name='gateway1-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,9643eb5f-deb8-45b7-9c22-1cf14fb021dc,2024-04-16T12:09:05.758797700
,,16,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:55.165104082Z,"Application{remoteApplicationUUID=eda7c32c-7590-4914-9444-7f32938d62b8, nodeId='22d5cc00-3264-4ad5-b85d-26c1bbb4cbf3', name='fog2-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,a6ea9175-cfaf-4e51-af97-05e94c4d0257,2024-04-16T12:08:55.083860399
,,17,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:19:00.017262248Z,"Application{remoteApplicationUUID=bd446bd3-d284-4471-b3f3-ab5f6a377417, nodeId='98036c1c-1d51-4fcd-81ab-21fb40b14b3b', name='cloud1-edge-iot-simulator', applicationComponents=[ApplicationComponent{remoteApplicationComponentUUID=513bc057-18b1-4881-9dc9-fc380e183cde, nodeUUID=98036c1c-1d51-4fcd-81ab-21fb40b14b3b, nodeHost='pulceo-node-eae9342543.westeurope.cloudapp.azure.com', name='cloud1-edge-iot-simulator-component-eis', image='ghcr.io/spboehm/edge-iot-simulator:v1.1.0', port=80, protocol='HTTPS', applicationComponentType=PUBLIC}]}",payload,EVENT,APPLICATION_CREATED,ac5ade86-6d34-4085-8f00-b3ae3db3e110,2024-04-16T12:18:59.908903153
,,18,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:13:11.699486128Z,"Application{remoteApplicationUUID=7bfa3a8c-2656-4489-94d4-1e28d5d25aba, nodeId='3f425fb8-c4e5-4eab-9d30-4552e94abdb3', name='cloud2-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,b0709bf3-d472-4783-92be-4b28e816c810,2024-04-16T12:13:11.655516020
,,19,2024-03-18T18:20:39.442145591Z,2024-04-17T18:20:39.442145591Z,2024-04-16T12:08:58.250203832Z,"Application{remoteApplicationUUID=3eefc27b-e92a-4cb3-be50-a722c058b4ca, nodeId='615ba998-3ecb-40f4-8a00-bdebf5894303', name='fog1-traefik', applicationComponents=[]}",payload,EVENT,APPLICATION_CREATED,bc691f74-ec28-4378-aa12-2c1be0b0bcd4,2024-04-16T12:08:58.206520142
