#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bandwidthUnit,destinationHost,deviceId,endTime,iperf3Protocol,iperfRole,jobUUID,metricType,metricUUID,sourceHost,startTime
,,11,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T18:31:47.147850531Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T18:31:47.107923980Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,b541fe96-533b-4795-b24f-969209fa1280,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T18:31:41.926772730Z
,,12,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T19:31:47.13513454Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T19:31:47.094299746Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4ec46c01-f4eb-4add-926a-a7c8abd43e79,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T19:31:41.926739870Z
,,13,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T19:31:47.13513454Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T19:31:47.094299746Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4ec46c01-f4eb-4add-926a-a7c8abd43e79,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T19:31:41.926739870Z
,,14,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T20:31:47.124655415Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T20:31:47.084603528Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4f3fec0a-5cb2-4047-b167-aa05e8fd4df4,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T20:31:41.926773360Z
,,15,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T20:31:47.124655415Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T20:31:47.084603528Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,4f3fec0a-5cb2-4047-b167-aa05e8fd4df4,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T20:31:41.926773360Z
,,16,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T21:31:47.188046825Z,64.2,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T21:31:47.146382636Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,7966c0de-a41f-412b-b7da-9b7fc7850d93,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T21:31:41.926839678Z
,,17,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T21:31:47.188046825Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T21:31:47.146382636Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,7966c0de-a41f-412b-b7da-9b7fc7850d93,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T21:31:41.926839678Z
,,18,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T22:31:47.266492589Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T22:31:47.225986487Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,b97bdc3d-1991-4c3c-b6cc-940e7141da77,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T22:31:41.926722621Z
,,19,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T22:31:47.266492589Z,65,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T22:31:47.225986487Z,UDP,SENDER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,b97bdc3d-1991-4c3c-b6cc-940e7141da77,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T22:31:41.926722621Z
,,20,2024-03-18T18:20:38.181157095Z,2024-04-17T18:20:38.181157095Z,2024-04-16T23:31:47.140568674Z,64.7,bitrate,UDP_BW,Mbits/s,h5136.pi.uni-bamberg.de,26c8c3d4-badc-4b7a-adb5-ec9d920784c3,2024-04-16T23:31:47.103418349Z,UDP,RECEIVER,3f1c284d-18d2-440f-aed4-179beba665fa,UDP_BW,9deb9c6d-04ac-47d0-a5e1-a71fe63e1cad,pulceo-node-eae9342543.westeurope.cloudapp.azure.com,2024-04-16T23:31:41.926673419Z
